Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
69452,1053.073,426.8231958,210.749841,2.025259871,0.869596064,70718,297.370195,0.824307163,0.98209791,0.787005314,0.696705797,0.006145585,0.000893184,0.485398968,0.983059052
38657,739.945,290.6699879,169.7466428,1.712375474,0.811765117,38988,221.8549551,0.682889344,0.991510208,0.887235952,0.763253739,0.007519207,0.001574083,0.58255627,0.997555069
66456,1053.899,351.8617044,241.4055163,1.457554533,0.727525467,68026,290.8855569,0.720718376,0.976920589,0.751875748,0.826704223,0.005294657,0.001525521,0.683439872,0.996150883
46704,813.324,295.3600895,203.0207835,1.454826863,0.726310254,47182,243.8552433,0.701735407,0.989869018,0.887231119,0.825620157,0.006324086,0.001812586,0.681648643,0.991680757
44790,792.589,306.4200046,186.3458582,1.644361767,0.793830802,45244,238.8061959,0.78952935,0.98996552,0.895972841,0.779342707,0.006841259,0.001556789,0.607375055,0.998744319
29913,635.697,233.2549033,163.5380394,1.426303655,0.713050205,30208,195.1574095,0.779471545,0.990234375,0.930185384,0.836670127,0.007797777,0.002357044,0.700016901,0.998436665
42802,793.323,300.6881075,182.6955482,1.645842553,0.794249664,43471,233.4463514,0.765031815,0.98461043,0.854621542,0.776373743,0.007025095,0.001574401,0.602756188,0.992041784
33186,669.772,244.9430919,173.2141568,1.4141055,0.707052742,33587,205.557115,0.718311688,0.988060857,0.929631428,0.839203561,0.007380916,0.002258184,0.704262617,0.99590164
37315,701.999,238.0546589,199.8358502,1.191251013,0.543431306,37735,217.9700292,0.775392735,0.98886975,0.951525262,0.915630176,0.006379597,0.002766008,0.838378618,0.998719378
84228,1118.273,426.1572737,253.547419,1.68077938,0.803753769,85117,327.4788854,0.764340227,0.989555553,0.846390293,0.768446078,0.005059568,0.001088295,0.590509374,0.99251598
34623,675.213,228.1943707,193.5033005,1.179278959,0.53003497,34965,209.9604076,0.759576148,0.99021879,0.954317679,0.920094597,0.006590832,0.002913734,0.846574068,0.998346985
76759,1076.634,380.9286894,256.7573133,1.483613785,0.738704095,77956,312.6221269,0.733202789,0.984645184,0.832152631,0.820684122,0.004962658,0.001388667,0.673522428,0.999247158
72923,1083.134,406.9631528,229.1976759,1.775598951,0.826327268,74095,304.7104319,0.689931502,0.984182468,0.781106071,0.748742066,0.005580724,0.00108193,0.560614682,0.995426841
53791,913.861,373.1675803,184.4092628,2.023583711,0.869363709,54510,261.7037034,0.783794023,0.98680976,0.809392535,0.701303428,0.006937361,0.001035137,0.491826498,0.995252091
34948,697.453,264.444305,168.7444626,1.567128787,0.769945502,35262,210.9435365,0.700416867,0.99109523,0.902822342,0.797686063,0.007566794,0.001889817,0.636303055,0.997168835
48609,868.202,340.9986705,182.5553282,1.867919571,0.844627179,49294,248.7788195,0.767732765,0.986103785,0.810373045,0.7295595,0.007015134,0.00122591,0.532257064,0.994213387
24991,628.397,218.7656148,145.7919178,1.500533213,0.745567814,25568,178.3802945,0.794247577,0.977432728,0.79528958,0.81539457,0.008753776,0.002386967,0.664868305,0.997656975
40154,729.638,241.2845985,211.9747376,1.138270537,0.477694957,40559,226.1098421,0.76663421,0.990014547,0.947815464,0.937108475,0.00600898,0.002858512,0.878172294,0.999597648
41267,759.008,272.2771926,193.7132061,1.405568562,0.70273078,41789,229.2221113,0.711070905,0.987508675,0.900160714,0.841870408,0.00659794,0.002044415,0.708745784,0.996190793
36877,712.904,263.1935501,178.6550154,1.473194299,0.734325891,37239,216.6869971,0.792372153,0.990279009,0.911807887,0.82329904,0.007137065,0.002022692,0.677821309,0.998562488
61978,1036.289,354.0364832,223.5834024,1.583464959,0.775354336,63295,280.9142939,0.774453941,0.979192669,0.725246506,0.793461429,0.005712293,0.001396669,0.629581039,0.996919515
26000,609.322,223.2961681,149.2513204,1.496108493,0.743801366,26407,181.9456737,0.79491256,0.98458742,0.880013823,0.814817716,0.008588314,0.002335229,0.66392791,0.993308185
153885,1491.351,573.3714139,343.8445245,1.667531029,0.800233162,156047,442.6425955,0.779038333,0.9861452,0.869453607,0.771999763,0.003725973,0.000816372,0.595983634,0.993821202
85702,1107.351,427.956415,257.0571452,1.664829875,0.799503091,86542,330.3319171,0.7945302,0.99029373,0.878274385,0.771882149,0.004993541,0.001093433,0.595802051,0.991909055
28746,636.721,232.4175742,158.2027717,1.469111898,0.732577767,29172,191.3126863,0.772077783,0.985396956,0.891023047,0.823142084,0.008085214,0.002289658,0.67756289,0.995415704
88625,1140.249,447.4827971,253.7914261,1.763191152,0.823612123,89422,335.9179284,0.796614892,0.991087204,0.856577598,0.750683447,0.005049171,0.00098907,0.563525637,0.993603417
36374,708.419,264.0014548,176.0947739,1.499200964,0.745038036,36774,215.2041245,0.741947986,0.98912275,0.910794764,0.815162646,0.007257971,0.001976843,0.66449014,0.996204258
73636,1045.21,412.0408752,230.1832737,1.790055674,0.829409002,74832,306.1964518,0.758258506,0.984017533,0.847018587,0.743121545,0.005595644,0.001052614,0.552229631,0.988521784
72464,1020.117,385.2464013,241.9811373,1.59205137,0.778116134,73680,303.7499471,0.797561002,0.9834962,0.875048646,0.788456287,0.005316383,0.001267379,0.621663316,0.989719935
46867,846.659,340.1692584,177.0078505,1.92177498,0.853951697,47529,244.280408,0.779039229,0.986071662,0.82159911,0.718114298,0.007258183,0.001190644,0.515688144,0.991036573
58891,966.204,397.7939189,189.5287619,2.098857793,0.879201774,59522,273.8290526,0.601419526,0.989398878,0.792722401,0.688369127,0.006754749,0.000935566,0.473852055,0.994548078
30781,638.859,227.5165109,172.8994756,1.315888959,0.649990256,31078,197.9686501,0.742623465,0.9904434,0.947725474,0.870128719,0.007391459,0.002613629,0.757123987,0.996291095
200419,1716.101,651.2283237,394.7898344,1.649556972,0.795294421,202151,505.1548241,0.786650967,0.991432147,0.855190891,0.775695414,0.003249334,0.00072567,0.601703375,0.992543997
51818,872.032,333.3625914,198.6584241,1.678069244,0.803041605,52505,256.859352,0.732565208,0.986915532,0.856299453,0.770510425,0.006433336,0.001398718,0.593686315,0.996246746
147827,1452.182,541.3785204,349.7474326,1.547912779,0.763310977,148921,433.8423471,0.783803989,0.992653823,0.880889694,0.801366014,0.003662244,0.000931646,0.642187489,0.994050221
41133,761.493,273.1021612,193.1516461,1.413926139,0.706963011,41714,228.8496498,0.771002812,0.986071822,0.891391357,0.837963525,0.00663949,0.002019366,0.70218287,0.992834714
186401,1757.418,672.2481021,359.7590937,1.868606281,0.844751849,191438,487.1684764,0.773047175,0.973688609,0.758416829,0.724685536,0.003606462,0.000613563,0.525169126,0.981334328
25339,593.553,222.598198,145.1640073,1.533425551,0.758103122,25653,179.6179747,0.709438083,0.987759716,0.903816627,0.806915673,0.008784806,0.002297336,0.651112903,0.998433162
75799,1096.146,409.7062235,236.3038694,1.733810896,0.816910701,77029,310.661044,0.796877628,0.984031988,0.792750516,0.758253173,0.005405167,0.001102163,0.574947874,0.996850889
49392,883.377,361.2987548,175.7403321,2.055867031,0.873729138,50089,250.7744955,0.637233905,0.986084769,0.795379331,0.694091779,0.007314925,0.001047267,0.481763398,0.990441486
69221,1034.794,420.1858938,212.6011487,1.976404626,0.862551506,70186,296.8752508,0.803960511,0.986250819,0.81234391,0.706533121,0.006070208,0.000933068,0.49918905,0.986599549
39493,720.349,246.9105923,204.1021982,1.209739995,0.562754758,39854,224.2410519,0.799971642,0.990941938,0.956409924,0.90818725,0.006252009,0.00262362,0.824804081,0.997798486
73226,1051.986,365.2722353,256.8899954,1.421901366,0.71090934,74288,305.3428219,0.824115966,0.985704286,0.8314866,0.835932196,0.004988286,0.001502503,0.698782637,0.993599986
48955,897.999,356.7442101,176.2208933,2.024414945,0.869479017,49899,249.6626562,0.690966831,0.981081785,0.762878214,0.699836603,0.007287186,0.001078267,0.489771271,0.991500281
71003,1076.435,365.1088878,248.9703306,1.466475491,0.731438824,72459,300.6722924,0.716160332,0.979905878,0.770035846,0.823514032,0.005142161,0.001458846,0.678175361,0.994527545
44911,770.999,261.8356413,218.8099031,1.196635242,0.549221921,45359,239.1285453,0.766857338,0.990123239,0.949412532,0.913277292,0.0058301,0.00250188,0.834075412,0.998084032
68035,1022.207,355.8995951,244.0281087,1.458436887,0.727916676,69243,294.3210024,0.797017408,0.982554193,0.818209564,0.826977626,0.005231125,0.001509211,0.683891994,0.997413311
39528,745.166,274.9432,183.3716302,1.499376974,0.74510813,40021,224.3403948,0.802892428,0.987681467,0.894558286,0.815951785,0.006955657,0.001901848,0.665777315,0.998251176
34113,673.914,221.2423662,196.5103818,1.125855866,0.459431581,34492,208.4083026,0.77466164,0.989011945,0.943888774,0.941990931,0.006485573,0.003150032,0.887346915,0.99902473
43773,782.552,292.6532592,190.9157687,1.532892025,0.757907813,44232,236.0794667,0.721077341,0.989622897,0.898234568,0.806686614,0.006685703,0.00174641,0.650743293,0.997519204
42883,784.774,297.8136317,184.0741393,1.617900443,0.78611127,43587,233.667138,0.732892398,0.983848395,0.874995484,0.784608605,0.006944795,0.001623497,0.615610663,0.995996764
29076,636.353,235.0615165,158.0336191,1.487414626,0.740272,29490,192.407674,0.69352415,0.985961343,0.902294546,0.818541788,0.008084383,0.00223867,0.670010659,0.996583653
67573,1024.508,396.9407079,221.5445158,1.791697287,0.829753522,69713,293.3199887,0.761883823,0.969302713,0.809007144,0.738951644,0.00587425,0.001080429,0.546049532,0.978355465
45628,777.737,265.0395503,219.313577,1.208495862,0.561502698,46097,241.0298196,0.776977437,0.989825802,0.947928926,0.909410763,0.005808704,0.002450752,0.827027936,0.999459838
24972,584.063,218.507118,146.3295938,1.493253089,0.742650825,25307,178.3124727,0.694670079,0.986762556,0.919906739,0.816048806,0.008750085,0.002393627,0.665935653,0.994410471
36532,697.29,243.796607,191.4935385,1.273132289,0.618906929,36893,215.6710158,0.812147081,0.990214946,0.944183571,0.884635018,0.006673508,0.002521102,0.782579115,0.99632674
42601,793.4,297.6150349,182.7050554,1.628937055,0.789385932,43137,232.8975694,0.696094771,0.987574472,0.850443107,0.782546384,0.006986104,0.001616051,0.612378843,0.99752659
30902,656.025,246.585936,160.2249453,1.53899841,0.760128096,31279,198.3573755,0.77541905,0.987947185,0.902309796,0.804414796,0.007979611,0.002061017,0.647083164,0.995859961
26724,705.478,232.983971,148.202168,1.572068574,0.771602864,27718,184.4615233,0.746981216,0.964138827,0.674752305,0.791734824,0.008718155,0.002113116,0.626844032,0.985441803
37809,721.444,263.6899886,182.7969036,1.442529843,0.720719735,38242,219.4080991,0.719130402,0.98867737,0.912850806,0.83206837,0.006974265,0.002062122,0.692337773,0.998717899
78136,1200.683,413.4783417,241.6903031,1.710777538,0.811372431,79916,315.413768,0.739980302,0.977726613,0.681089704,0.762830205,0.005291778,0.001105332,0.581909921,0.995518422
28487,628.227,216.449322,168.4747024,1.284758595,0.62782275,28868,190.4488774,0.762336759,0.986801995,0.907033619,0.87987745,0.007598179,0.00280917,0.774184327,0.994639968
27517,610.178,225.0695203,156.0495214,1.442295486,0.720611374,27787,187.1783442,0.709823041,0.990283226,0.928747928,0.831646791,0.00817929,0.002413521,0.691636385,0.997544036
38171,707.456,233.9457354,208.03934,1.124526426,0.457395792,38570,220.4559518,0.793180118,0.989655172,0.958394987,0.94233798,0.006128887,0.00298118,0.888000868,0.998580443
52829,846.266,298.2441132,226.0495163,1.319375144,0.65233061,53408,259.3529871,0.746805202,0.989158928,0.926975954,0.869599686,0.005645462,0.001991392,0.756203613,0.997716251
40647,750.745,281.1800423,184.5515684,1.523585222,0.754459491,41131,227.4936654,0.75367129,0.98823272,0.906261362,0.809067612,0.006917609,0.001828416,0.654590401,0.997324261
57659,955.434,387.7576067,196.6257824,1.972058812,0.861896481,60188,270.9496612,0.620790267,0.957981657,0.7937351,0.698760402,0.006725014,0.000988977,0.4882661,0.962889464
77606,1067.024,407.8598948,244.5245201,1.667971354,0.800351775,78338,314.342215,0.806379884,0.990655876,0.856558024,0.770711264,0.00525552,0.001143832,0.593995852,0.990768066
75282,1052.661,400.1623504,241.6640008,1.655862475,0.797048812,76676,309.5997729,0.748717031,0.981819605,0.853736691,0.773685412,0.005315512,0.00117485,0.598589117,0.991181256
80835,1097.451,430.5582883,242.4881483,1.775584874,0.826324224,82824,320.8150847,0.774815965,0.975985222,0.843410551,0.745114177,0.005326384,0.001012753,0.555195137,0.985796088
44565,833.876,272.2965416,209.5186986,1.299628832,0.638706499,45809,238.2056261,0.699212376,0.972843764,0.805379973,0.874802246,0.006110099,0.002207331,0.765278969,0.994578613
42438,762.303,287.5245902,188.8720731,1.522324532,0.753986288,42893,232.4515859,0.809267735,0.989392209,0.917718559,0.808458107,0.006775168,0.001785377,0.653604511,0.994998181
34911,670.061,232.3946574,191.3768711,1.214329904,0.567317077,35204,210.8318423,0.771070766,0.991677082,0.977110029,0.90721467,0.006656775,0.002781531,0.823038457,0.99944021
46362,806.085,308.8613601,192.1125804,1.607710226,0.783015147,46800,242.9607618,0.800034513,0.990641026,0.896623975,0.786633724,0.006661951,0.001573517,0.618792615,0.994839215
81342,1096.012,421.5484704,249.0773745,1.692439834,0.806771944,82596,321.8195939,0.761971673,0.984817667,0.850930503,0.763422516,0.005182421,0.001085856,0.582813938,0.986377525
66291,1048.41,371.479241,227.6488927,1.63180781,0.790224651,67835,290.5242204,0.766547179,0.977238888,0.757882929,0.782073904,0.005603766,0.001293156,0.611639592,0.998078263
79544,1088.996,393.1791912,258.7680507,1.519427109,0.75289313,80500,318.2429361,0.828583333,0.988124224,0.842878006,0.809409407,0.004942915,0.001308687,0.655143588,0.995442928
55138,925.042,385.2023532,183.8776995,2.09488347,0.878711338,55683,264.9601518,0.810185729,0.990212453,0.809725786,0.687846659,0.00698615,0.000964682,0.473133026,0.991158556
28192,625.45,233.6954694,154.2326296,1.515214192,0.751289582,28568,189.4602049,0.712783172,0.986838421,0.905629492,0.810714069,0.008289425,0.002208895,0.657257302,0.995885592
34663,691.502,252.5251606,175.3797061,1.439876746,0.719488949,35079,210.0816564,0.777964808,0.988141053,0.910938652,0.831923662,0.00728515,0.002152545,0.69209698,0.996534347
36067,707.031,249.2151411,185.4308218,1.343979058,0.668113678,36473,214.2940285,0.693049711,0.988868478,0.906656902,0.859875638,0.006909783,0.002330165,0.739386113,0.993719451
37972,727.993,273.15351,177.5132113,1.538778483,0.760048701,38371,219.8805403,0.720476624,0.989601522,0.900365674,0.804970583,0.007193551,0.00186313,0.64797764,0.99709405
42190,768.648,282.1692259,191.264544,1.475282454,0.735212861,42592,231.7713882,0.733152608,0.990561608,0.897355205,0.821391445,0.006688059,0.001877935,0.674683906,0.995349329
55789,916.971,377.0138382,189.0888127,1.993845288,0.86513247,56283,266.5197196,0.817277548,0.991222927,0.833771871,0.70692291,0.006757853,0.001041062,0.499740001,0.996404246
34079,686.949,251.3405216,173.0145374,1.452713312,0.725362518,34519,208.3044177,0.727096224,0.987253397,0.90750226,0.828773715,0.007375232,0.002146344,0.68686587,0.997819193
66700,1020.511,356.9693595,238.9235236,1.494073728,0.742982347,67735,291.4190756,0.795012992,0.984719864,0.804822886,0.816369999,0.005351864,0.001466334,0.666459975,0.995740339
37650,719.742,259.5607995,185.5433161,1.39892293,0.699292482,38103,218.9462693,0.708399187,0.988111172,0.913316181,0.843525948,0.006894045,0.002153018,0.711536024,0.99538406
36450,710.003,263.5197066,176.6732989,1.491564986,0.741966675,36848,215.4288314,0.764070852,0.989198871,0.908629911,0.817505583,0.007229622,0.001991857,0.668315379,0.996835818
26516,601.374,229.9247948,147.2153513,1.561826214,0.768144852,26796,183.7422645,0.810787671,0.989550679,0.921358356,0.799140713,0.008671172,0.002181477,0.638625879,0.99742264
77502,1050.945,387.9738252,256.2189843,1.514227473,0.750911577,78712,314.1315189,0.815776178,0.984627503,0.881785184,0.809671938,0.005005985,0.001327106,0.655568647,0.992680056
45382,779.361,286.4237156,202.0993045,1.417242461,0.708614771,45764,240.3791942,0.733956527,0.991652828,0.93889312,0.839243335,0.006311395,0.001931331,0.704329375,0.998205497
41867,763.931,281.9307647,189.5290707,1.487533093,0.740320623,42267,230.882481,0.802464876,0.990536352,0.901516,0.818933263,0.006733961,0.001868291,0.670651689,0.997616581
52156,870.899,342.1205085,195.1835561,1.752814199,0.821289874,52843,257.6957153,0.796031746,0.986999224,0.864128954,0.753230832,0.006559562,0.001302468,0.567356687,0.994470856
33498,657.523,227.9380769,187.3160543,1.21686354,0.569797937,33745,206.5211327,0.781494961,0.992680397,0.973658914,0.906040516,0.006804528,0.002828579,0.820909416,0.998934738
50131,883.262,362.1542449,177.4872709,2.040451933,0.871673239,50698,252.6435663,0.615708671,0.988816127,0.807489974,0.697613158,0.007224158,0.001055421,0.486664118,0.99301474
28222,621.151,233.8825348,154.0372309,1.518350683,0.752485007,28482,189.5609834,0.729231803,0.990871428,0.919185731,0.810496532,0.008287242,0.002205944,0.656904629,0.997411592
65459,1000.764,348.1530579,241.1968376,1.443439563,0.721139717,66423,288.6953193,0.713488473,0.985486955,0.821326588,0.829219542,0.005318643,0.001551168,0.687605049,0.992516332
40338,730.78,262.069701,196.2671315,1.33527045,0.662669516,40674,226.6273081,0.779342723,0.991739195,0.949185116,0.864759669,0.006496844,0.002241114,0.747809286,0.998527642
66252,984.959,375.2092101,226.7207463,1.654939904,0.796793616,67161,290.438748,0.813167391,0.986465359,0.858168465,0.774071478,0.005663364,0.001254234,0.599186654,0.991617903
42315,759.195,255.1426728,211.4728401,1.206503269,0.559483457,42847,232.1144789,0.760855884,0.987583728,0.922566182,0.909743856,0.006029604,0.002547681,0.827633883,0.998542985
26605,612.291,229.7859188,148.0236865,1.552359114,0.764873221,27011,184.0503683,0.738207547,0.984969087,0.891779276,0.800964521,0.008636945,0.00219277,0.641544164,0.99590693
71540,1034.456,401.2763801,231.4388537,1.733833251,0.816915952,72721,301.8071521,0.8225825,0.983759849,0.840107291,0.752117909,0.005609119,0.00110718,0.565681349,0.980797133
162019,1575.185,596.6920015,350.2521852,1.703606792,0.809594246,164165,454.1904862,0.715631625,0.986927786,0.82056441,0.761180785,0.003682852,0.000762632,0.579396188,0.987063281
66737,972.11,374.8698515,227.0881913,1.650767701,0.795633145,67291,291.4998928,0.779564994,0.991767101,0.887453737,0.777602924,0.005617122,0.00126685,0.604666308,0.998163611
63253,1006.449,352.1086291,230.0762332,1.530399834,0.756992114,64388,283.789043,0.783920781,0.982372492,0.784706856,0.805970145,0.005566671,0.001448942,0.649587875,0.994129177
39108,717.398,256.096468,194.8200229,1.314528477,0.649069574,39413,223.145361,0.787721312,0.992261437,0.954893962,0.871333223,0.006548442,0.002328385,0.759221586,0.998018395
37131,712.145,264.3183472,179.6517455,1.471281821,0.733509279,37483,217.4319607,0.800685729,0.990609076,0.920046232,0.822613954,0.007118536,0.002010734,0.676693717,0.995607164
68309,1097.068,381.5750796,229.1517604,1.665163204,0.799593412,69725,294.913072,0.70008814,0.979691646,0.713215375,0.772883471,0.005586015,0.001229527,0.59734886,0.994683342
32493,658.39,233.8035277,177.1902453,1.319505638,0.652417691,32827,203.3995392,0.779077853,0.989825449,0.941961652,0.86995924,0.007195504,0.002542358,0.756829079,0.998640236
43919,813.374,276.4658187,202.5948787,1.364623926,0.680441259,44428,236.4728474,0.770643973,0.988543261,0.834222186,0.855342076,0.006294902,0.002078395,0.731610068,0.998372602
29694,635.714,239.4447437,158.3680893,1.511950702,0.750035805,30015,194.4417009,0.781400489,0.989305347,0.923325897,0.812052492,0.008063742,0.002162981,0.65942925,0.997024517
38104,734.849,282.8693844,172.1419269,1.643233519,0.793510751,38471,220.2623881,0.702818356,0.990460347,0.886715331,0.778671713,0.007423614,0.001683498,0.606329637,0.996341183
79295,1067.768,409.3083968,248.0439422,1.650144701,0.79545896,80278,317.7444409,0.81068785,0.987755051,0.873980745,0.776295926,0.005161844,0.001156362,0.602635365,0.994435553
38159,707.153,247.7144126,196.5599343,1.260248756,0.608577894,38483,220.4212961,0.750599945,0.991580698,0.958914913,0.889820232,0.006491638,0.002510401,0.791780045,0.997839817
45886,784.353,272.1067918,215.2976279,1.263863399,0.611525468,46375,241.7103013,0.761075451,0.989455526,0.937274801,0.888292055,0.005930061,0.002277519,0.789062775,0.997267561
31178,636.888,212.9759252,186.5620882,1.141582018,0.482352224,31520,199.2412169,0.764110482,0.989149746,0.965899596,0.935510513,0.006830968,0.003227429,0.875179919,0.999089658
42147,763.779,283.3826364,190.2757308,1.489326228,0.741054787,42667,231.6532475,0.705389121,0.987812595,0.907906457,0.817457451,0.006723673,0.001852025,0.668236684,0.99522242
73191,1073.038,385.0103595,242.2625761,1.589227547,0.777213877,74320,305.2698405,0.693096591,0.984808934,0.798798684,0.792887342,0.005260351,0.00128245,0.628670337,0.999100217
51846,904.763,380.2072219,174.6331135,2.177177136,0.888275858,52443,256.92874,0.805062112,0.988616212,0.795894412,0.675759757,0.007333395,0.000943309,0.45665125,0.99421066
49158,884.74,368.0108409,170.9600126,2.152613558,0.88554607,50011,250.1797545,0.623199797,0.982943752,0.789173955,0.679816263,0.007486286,0.000986308,0.462150151,0.994830681
86593,1178.19,425.8092081,260.6693811,1.633522151,0.790722983,88300,332.0446234,0.770949074,0.980668177,0.783902384,0.779796719,0.004917363,0.001121599,0.608082923,0.993316924
70088,1001.046,381.7267159,236.0392725,1.617216965,0.785905815,71072,298.7286615,0.802151645,0.986154885,0.878912138,0.782572058,0.005446392,0.001260045,0.612419025,0.990414438
42461,747.718,265.8522749,203.4464715,1.30674311,0.643719708,42808,232.514568,0.759914811,0.991894038,0.954386771,0.874600633,0.006261093,0.002259795,0.764926267,0.99956213
82892,1101.387,423.5195825,250.0040237,1.694051065,0.807183223,83670,324.8713166,0.754331683,0.990701566,0.858702229,0.767075078,0.005109294,0.001091169,0.588404175,0.996786718
31410,665.924,253.1598882,158.1892467,1.600360919,0.780737581,31904,199.9811344,0.732594752,0.984516048,0.890078818,0.789940049,0.00805985,0.001935901,0.62400528,0.998633664
35291,723.178,276.2396963,163.1613077,1.693046593,0.806926986,35849,211.9761703,0.71922638,0.984434712,0.847975719,0.767363175,0.007827483,0.001674194,0.588846242,0.996944124
84664,1143.2,396.7575391,272.9980833,1.453334523,0.725641632,86180,328.3253764,0.759134559,0.982408912,0.814074621,0.827521456,0.00468626,0.001355574,0.68479176,0.995231506
55912,901.128,348.3959104,204.7541728,1.701532651,0.809074973,56502,266.8133607,0.771157453,0.989557892,0.865250627,0.765833791,0.006231147,0.001322166,0.586501395,0.997951273
33767,687.552,257.4015727,167.8300362,1.533703851,0.758204898,34158,207.3486911,0.707903564,0.988553194,0.897617358,0.805545549,0.007622874,0.001979971,0.648903631,0.995225997
26466,610.166,222.1737253,152.2590895,1.459182017,0.728246329,26878,183.5689456,0.74480779,0.984671479,0.893309935,0.826240571,0.008394685,0.002413294,0.682673481,0.996144867
164571,1551.378,588.4700029,360.2032856,1.633716366,0.79077932,166960,457.7535419,0.774477277,0.985691184,0.859266569,0.777870647,0.003575782,0.00080757,0.605082743,0.988533581
34858,698.244,260.3117422,170.9919585,1.522362482,0.754000554,35261,210.6717448,0.752287638,0.988570942,0.898458258,0.809305577,0.007467776,0.001976156,0.654975517,0.997110154
52462,903.657,364.9769654,183.8306827,1.985397432,0.863891766,53123,258.450562,0.809623754,0.987557179,0.807323274,0.70812842,0.006956978,0.001079067,0.50144586,0.995569323
